fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4001871    1
[2,]  1250.000       -0.2550171    1
[3,]     0.035      458.6098942    1
Condition number of the (active) hessian: 1411335029 
lam= 36.31733 ,nu= NaN ,phi= 1021.976 ,omega= 0.0400057 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.988 ,omega= 0.04000693 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.994 ,omega= 0.04000754 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.997 ,omega= 0.04000785 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.998 ,omega= 0.040008 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.04000808 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000812 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000813 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000814 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= 4.928649 ,phi= 1022 ,omega= 0.04000815 ,f= -1039.872 ,
lam= 36.31733 ,nu= 4.928649 ,phi= 1022 ,omega= 0.04000815 ,f= -1039.872 ,
-----Iteration 11 -----
lam= 36.31731 ,nu= NaN ,phi= -213.7988 ,omega= 0.004168742 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 404.1006 ,omega= 0.02208845 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 713.0503 ,omega= 0.0310483 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 867.5252 ,omega= 0.03552823 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 944.7626 ,omega= 0.03776819 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 983.3813 ,omega= 0.03888817 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1002.691 ,omega= 0.03944816 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1012.345 ,omega= 0.03972816 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1017.173 ,omega= 0.03986816 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1019.586 ,omega= 0.03993815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1020.793 ,omega= 0.03997315 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.397 ,omega= 0.03999065 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.698 ,omega= 0.0399994 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.849 ,omega= 0.04000378 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.925 ,omega= 0.04000597 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.962 ,omega= 0.04000706 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.981 ,omega= 0.04000761 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.991 ,omega= 0.04000788 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.995 ,omega= 0.04000802 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.998 ,omega= 0.04000809 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.04000812 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.04000814 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000815 ,f= NaN ,
lam= 36.31733 ,nu= 4.908116 ,phi= 1022 ,omega= 0.04000815 ,f= -1038.384 ,
lam= 36.31733 ,nu= 4.908116 ,phi= 1022 ,omega= 0.04000815 ,f= -1038.384 ,
-----Iteration 12 -----
